numero,tipo,area_m2,quartos,banheiros,vagas,preco,preco_m2,bairro,rua,descricao,rotulo_manual
1,Casas,58,2,,,"R$ 37,558",R$ 647.55,Parque Estrela Dalva Xvi,,Casa 2 quartos à venda no bairro Parque Estrela Dalva XI em Santo Antônio do Descoberto. Casa com 58m² por R$37.558;00. ID 353303348. Confira agora a casa!,0
2,Casas,51,2,,,"R$ 50,606",R$ 992.27,Parque Estrela Dalva Xvi,,Casa 2 quartos à venda no bairro Parque Estrela Dalva XI em Santo Antônio do Descoberto. Casa com 51m² por R$50.606;00. ID 353185637. Confira agora a casa!,0
3,Casas,58,2,,,"R$ 68,166","R$ 1,175.28",Parque Estrela Dalva Xvi,,Casa 2 quartos à venda no bairro Parque Estrela Dalva XI em Santo Antônio do Descoberto. Casa com 58m² por R$68.166;00. ID 353221496. Confira agora a casa!,0
4,Casas,65,2,,,"R$ 219,999","R$ 3,384.60",Parque Estrela Dalva Xvi,,Casa 2 quartos à venda no bairro Parque Estrela Dalva XI em Santo Antônio do Descoberto. Casa com 65m² e 1 banheiro por R$219.999;00. ID 353646577. Confira agora a casa!,0
